brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;7;6;14;1;6;3;11;15;9;7
starttime;14:13:20;14:14:42;14:15:55;14:17:04;14:18:09;14:19:16;14:20:32;14:22:20;14:24:18;14:25:07
endtime;14:13:26;14:14:48;14:16:07;14:17:06;14:18:13;14:19:19;14:20:41;14:22:31;14:24:26;14:25:13
difftime;6;6;12;2;4;3;9;11;8;6
"(5,6,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;8;7;17;8;4;5;11;20;3;10
starttime;14:13:26;14:14:48;14:16:07;14:17:06;14:18:13;14:19:19;14:20:41;14:22:31;14:24:26;14:25:13
endtime;14:13:33;14:14:54;14:16:21;14:17:12;14:18:17;14:19:23;14:20:50;14:22:47;14:24:29;14:25:21
difftime;7;6;14;6;4;4;9;16;3;8
"(5,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;36;11;18;18;49;53;60;36;16;14
starttime;14:13:33;14:14:54;14:16:21;14:17:12;14:18:17;14:19:23;14:20:50;14:22:47;14:24:29;14:25:21
endtime;14:14:07;14:15:04;14:16:40;14:17:27;14:19:02;14:20:17;14:22:00;14:23:23;14:24:45;14:25:35
difftime;34;10;19;15;45;54;70;36;16;14
"(9,10,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;23;36;19;34;9;14;17;53;17;41
starttime;14:14:07;14:15:04;14:16:40;14:17:27;14:19:02;14:20:17;14:22:00;14:23:23;14:24:45;14:25:35
endtime;14:14:31;14:15:48;14:17:01;14:18:02;14:19:09;14:20:30;14:22:15;14:24:13;14:25:01;14:26:12
difftime;24;44;21;35;7;13;15;50;16;37
"(9,14,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;13;7;4;8;10;1;6;5;7;3
starttime;14:14:31;14:15:48;14:17:01;14:18:02;14:19:09;14:20:30;14:22:15;14:24:13;14:25:01;14:26:12
endtime;14:14:42;14:15:55;14:17:04;14:18:09;14:19:16;14:20:32;14:22:20;14:24:18;14:25:07;14:26:16
difftime;11;7;3;7;7;2;5;5;6;4
