brunch;1;2;3;4;5;6;7;8;9;10
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;4;5;1;5;4;1;4;4;1
starttime;16:37:44;16:51:58;16:58:27;17:06:29;17:14:49;17:21:47;17:28:52;17:35:43;17:47:35;17:57:01
endtime;16:37:49;16:52:03;16:58:32;17:06:32;17:14:54;17:21:52;17:28:55;17:35:47;17:47:40;17:57:03
difftime;5;5;5;3;5;5;3;4;5;2
"(6,10,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;4;7;8;7;9;6;9;4;5
starttime;16:37:49;16:52:03;16:58:32;17:06:32;17:14:54;17:21:52;17:28:55;17:35:47;17:47:40;17:57:03
endtime;16:37:54;16:52:08;16:58:40;17:06:40;17:15:02;17:22:01;17:29:02;17:35:56;17:47:45;17:57:09
difftime;5;5;8;8;8;9;7;9;5;6
"(11,12,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;18;42;13;26;18;9;37;10;38
starttime;16:37:54;16:52:08;16:58:40;17:06:40;17:15:02;17:22:01;17:29:02;17:35:56;17:47:45;17:57:09
endtime;16:38:01;16:52:25;16:59:21;17:06:54;17:15:25;17:22:20;17:29:11;17:36:33;17:47:54;17:57:43
difftime;7;17;41;14;23;19;9;37;9;34
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;4;4;5;1;10;9;6;6;2
