brunch;1;2;3;4;5;6;7;8;9;10
"(5,6,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;0;1;1;0;1;1
"(5,8,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;0;2;1;0;0;0;0;0;0
difftime;4;0;2;1;1;1;1;1;0;1
"(10,11,""then"")";(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0)
generations#;199;199;199;199;199;199;0;199;199;102
difftime;142;145;149;145;143;146;1;145;149;78
"(10,13,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;0;1;1;1;1
