brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(5,6,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"(5,8,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;2;1;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1
"(10,11,""then"")";(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0);(1.4950980392156863,0.0,0)
generations#;199;199;54;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;0;199
difftime;165;173;44;166;161;166;171;165;160;160;171;170;173;169;162;165;167;161;1;167
"(10,13,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;0;1;1;0;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1
