brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;6;2;4;1;4;4;1;5;1;4;1;4;4;4;4;4;4;4;5;4
difftime;8;4;5;3;5;5;2;6;2;6;3;5;6;5;6;5;5;6;7;4
"(6,10,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;14;5;5;5;3;5;7;5;12;8;4;6;10;10;1;5;5;5;10;5
difftime;16;6;7;6;6;7;10;7;15;10;6;8;12;13;2;7;8;7;11;4
"(11,12,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;7;7;41;9;6;7;9;20;7;38;4;16;6;41;10;5;199;5;18;14
difftime;9;10;40;12;7;9;11;23;9;39;7;22;8;41;13;8;209;7;15;11
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;16;12;2;5;5;5;4;12;5;7;5;5;1;5;2;7;2;5;1;4
difftime;19;13;4;6;7;6;7;14;7;9;7;7;3;7;4;9;4;8;2;3
"(16,17,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;28;15;11;30;10;19;10;5;24;7;44;6;29;13;10;18;16;14;12;7
difftime;30;17;15;36;12;22;13;7;27;10;50;8;36;16;14;21;19;16;9;6
"(16,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;1;5;2;1;10;5;5;17;1;31;4;8;5;5;6;1;7;7;1
difftime;7;2;7;4;3;12;6;7;20;3;34;6;10;7;7;8;3;10;6;2
"(21,22,""then"")";(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0)
generations#;5;199;21;79;173;5;5;54;27;9;7;12;199;107;21;27;5;11;199;2
difftime;7;231;27;88;215;7;8;72;34;11;10;17;229;119;25;29;7;13;159;3
"(21,25,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;10;10;12;11;6;6;5;6;14;10;9;4;7;7;5;5;5;10;2;5
difftime;11;12;14;13;9;9;8;9;16;12;11;6;10;10;7;7;7;12;2;4
"(29,30,""then"")";(1.25,0.0,0);(1.4,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(1.4,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;199;24;22;13;75;199;86;54;199;63;199;199;150;7;48;16;13;5;130
difftime;225;203;28;27;17;86;209;107;57;197;67;234;212;160;9;49;19;16;5;86
"(29,37,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;2;1;4;4;1;1;5;2;4;6;4;1;2;4;1;1;1;1;4
difftime;4;3;2;6;5;3;3;7;4;5;8;7;3;4;7;3;3;4;2;4
"(38,39,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4736842105263157,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4736842105263157,0.0,0);(1.3333333333333333,0.0,0);(0.0,0.0,0)
generations#;13;33;12;128;18;165;6;199;48;47;75;24;199;199;24;96;8;199;199;102
difftime;16;35;16;152;22;175;8;220;48;50;84;28;220;200;25;101;11;241;159;72
"(38,46,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;1;4;2;3;4;1;4;4;4;1;4;1;4;1;1;4;1;1;2
difftime;6;3;5;4;6;7;3;6;6;6;2;6;3;7;3;3;6;3;3;3
"(47,48,""then"")";(0.0,0.0,0);(1.4166666666666667,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4375,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.375,0.0,0);(1.4375,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4375,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
