brunch;1;2;3;4;5;6;7;8;9;10
"(5,6,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;1;0;1;1;0;1;1;1;1
"(7,8,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;8;10;20;10;199;3;18;1;6;10
difftime;9;11;21;10;215;4;19;2;6;10
"(7,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;4;0
difftime;1;1;1;1;1;1;1;1;5;1
"(10,11,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;8;39;3;199;6;4;15;2;9;4
difftime;8;41;4;196;8;5;15;2;9;5
"(10,14,""else"")";(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0)
generations#;199;2;36;32;7;0;11;12;25;199
difftime;237;3;36;35;8;0;12;13;25;243
