brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(5,6,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;3;1;0;1;1;1;1;1;1;1;1;1;1;2;1
"(7,8,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;6;6;20;7;3;3;24;199;7;15;13;3;5;199;5;37;11;4;86;5
difftime;8;9;25;10;5;5;32;243;11;19;16;5;7;264;7;44;15;6;105;7
"(7,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
difftime;1;1;1;5;1;1;1;1;1;2;1;1;2;2;1;1;1;1;2;1
"(10,11,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;9;6;3;127;73;14;5;8;2;11;8;9;14;199;3;9;199;11;2
difftime;2;12;9;5;161;91;19;7;11;3;16;12;13;17;242;4;13;254;17;4
"(10,14,""else"")";(4.25,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0)
generations#;199;3;199;18;4;20;16;0;7;0;13;23;19;5;31;15;199;5;199;32
difftime;237;5;238;22;7;26;22;1;10;1;18;30;26;8;43;20;254;7;250;42
