brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;0;0;1;1;0;0;1;0;0;0
"(3,6,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;3;2;3;2;2;3;3;3;2
difftime;2;2;1;1;1;1;1;2;2;1
"(7,8,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;2;2;3;4;3;3;3;2;3
difftime;1;1;1;2;2;2;1;1;1;2
"(10,11,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;2;3;2;4;3;2;4;4;3
difftime;2;1;1;1;2;1;1;2;2;1
"(10,13,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;4;3;3;2;3;2;4;3;5
difftime;2;2;2;2;1;2;1;2;2;3
"(14,15,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;2;3;2;2;3;3;2;3;2
difftime;1;1;1;1;1;1;2;1;1;1
