brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"(5,6,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"(5,8,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;4;2;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"(10,11,""then"")";(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(0.0,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0);(1.4950980392156863,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;0;199;0;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;132;199;199;199;199;199
difftime;181;178;171;173;171;170;172;170;173;167;164;166;166;165;155;166;165;167;166;172;162;169;167;1;167;1;169;167;173;164;168;168;166;165;165;176;168;168;165;170;167;170;169;162;107;164;163;166;167;170
"(10,13,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1
