brunch;1;2;3;4;5;6;7;8;9;10
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;4;2;1;1;1;3;2;1;3
difftime;3;9;5;3;4;3;7;5;4;6
"(6,10,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;6;1;16;199;13;19;12;5;81;11
difftime;12;3;27;353;24;36;21;10;148;18
"(11,12,""then"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0)
generations#;199;49;199;199;199;199;199;33;104;199
difftime;350;89;336;352;355;351;353;59;187;327
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;20;16;1;2;63;7;9;6;2;57
difftime;33;27;3;4;110;14;17;12;4;105
"(16,17,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0)
generations#;153;5;199;113;20;24;199;81;13;199
difftime;250;10;340;184;33;42;361;147;25;342
"(16,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;109;29;142;16;16;5;5;90;12;13
difftime;189;49;237;30;26;10;9;161;23;25
"(21,22,""then"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;32;10;199;71;199;199;199;22;110
