brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"(5,6,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;0;1;1;1;1;1;1;1;2;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
"(7,8,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0)
generations#;6;8;2;28;1;199;58;6;19;30;12;5;46;28;5;1;199;9;11;199;7;12;11;9;107;6;3;6;10;2;2;24;4;4;199;9;7;8;199;5;6;35;4;10;199;8;199;9;1;199
difftime;7;10;4;28;1;195;73;8;25;34;15;6;45;29;6;2;211;9;12;216;8;12;12;11;117;7;4;7;12;3;3;26;4;5;231;9;8;9;227;6;7;40;5;13;215;8;248;9;2;203
"(7,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;0;0;1;1;1;1;1;2;0;1;0;1;1;1;1;1;1;0;0;1;2;1;0;0;1;1;1;0;1;1;1;1;3;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1
"(10,11,""then"")";(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(4.25,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(4.25,0.0,0);(4.25,0.0,0);(4.25,0.0,0);(0.0,0.0,0)
generations#;199;3;4;199;11;18;6;199;9;6;7;9;48;13;3;11;4;5;12;199;5;7;13;9;4;9;27;199;9;199;12;6;3;199;199;199;27;3;10;10;7;19;94;5;7;199;199;199;199;5
difftime;227;4;6;213;14;25;9;227;13;8;9;11;44;13;4;14;5;6;12;232;6;7;15;12;6;10;30;232;9;220;14;7;4;199;242;210;28;4;12;11;9;20;97;6;9;207;216;202;223;6
"(10,14,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;8;16;0;10;25;199;3;37;25;199;6;115;29;40;0;199;4;25;14;5;22;11;199;67;6;9;1;4;199;199;8;31;4;26;16;199;5;10;21;40;27;38;5;11;11;14;0;199;26;36
difftime;9;19;1;13;27;253;5;45;33;215;8;134;28;46;1;237;4;25;15;7;22;11;222;68;7;10;2;6;227;205;10;29;4;31;17;213;6;12;23;38;32;38;6;12;13;15;1;198;27;36
