brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;0;1;1;1;0;1;1;0;0
"(3,6,""else"")";(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;81;83;85;84;83;85;66;81;85;82
"(7,8,""inFor"")";(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;82;83;76;83;80;84;83;84;85;80
"(10,11,""then"")";(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;84;84;84;84;74;85;83;79;86;81
"(10,13,""else"")";(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;84;73;84;84;74;85;80;82;84;75
"(14,15,""inFor"")";(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;77;83;74;77;86;76;76;80;80;85
