brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(3,4,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1
"(3,6,""else"")";(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0);(1.4285714285714286,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;93;92;94;91;88;92;94;92;93;92;91;90;90;90;91;90;88;92;90;92
"(7,8,""inFor"")";(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0);(3.4285714285714284,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;94;92;91;92;87;93;92;93;94;93;91;90;90;91;91;92;89;91;90;90
"(10,11,""then"")";(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;90;93;91;90;89;93;92;92;93;93;92;88;91;90;90;91;92;89;93;91
"(10,13,""else"")";(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0);(6.428571428571429,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;91;92;91;90;91;92;93;95;94;92;90;91;92;88;89;88;91;91;91;90
"(14,15,""inFor"")";(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0);(4.428571428571429,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;91;94;92;91;90;93;92;93;94;94;89;90;90;92;89;91;91;88;92;93
