brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(5,6,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"[(5,8,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]}
generations#;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0
difftime;1;2;1;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;2;1;1;1;1;0;1;2;1;1;1;1
"[(10,11,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]}
generations#;20;22;0;20;6;14;17;20;15;25;15;21;199;19;17;22;199;14;199;23;8;199;199;199;22;14;24;14;8;17;13;0;12;22;142;7;13;14;11;10;24;16;199;38;13;15;199;0;10;10
difftime;14;15;0;13;5;9;12;13;9;16;12;16;147;13;12;16;153;10;151;17;7;129;147;148;15;11;18;11;7;12;10;1;9;14;96;6;8;11;8;6;14;9;148;22;8;10;139;0;8;8
"[(10,13,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]}
