brunch;1;2;3;4;5;6;7;8;9;10
"(2,3,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;2;3;2;2;2;2;2;3;3;3
"(2,5,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;1;1;1
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;28;9;5;10;18;17;1;16;19
difftime;8;67;23;14;26;44;41;5;39;44
"(6,12,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;0;1;1;1;1;1;1;1;1;1
"(8,9,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;6;0;12;18;24;25;6;51;5;1
difftime;16;2;31;44;57;60;17;123;14;5
"(8,11,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4945054945054945,0.0,0);(1.4946236559139785,0.0,0);(1.4945054945054945,0.0,0);(1.4945652173913042,0.0,0);(1.4946236559139785,0.0,0);(1.4945652173913042,0.0,0);(0.0,0.0,0)
generations#;36;105;13;199;199;199;199;199;199;9
difftime;83;248;32;469;479;477;479;480;472;24
"(20,21,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;2;2;1;2;1;2;1
"(20,23,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;3;3;2;2;2;3;2;3;2;3
"(24,25,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;2;1;1;1;1;1;1
