brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(3,4,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]}
generations#;15;124;15;13;1;6;12;1;21;6;13;2;12;24;5;4;3;7;14;5;27;13;22;3;10;5;1;7;2;9;3;8;17;3;5;33;25;15;1;1;20;2;4;14;12;1;14;1;2;2
difftime;13;84;10;9;2;6;10;2;15;6;11;2;11;16;5;4;3;6;11;4;19;11;18;2;8;4;2;6;2;7;3;6;12;3;5;27;20;12;2;2;16;3;4;12;11;2;10;2;3;2
"[(5,6,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]};[1,2,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,4,5,6,7,8,9,14,3,-1]}
generations#;1;9;20;1;17;10;2;1;4;9;24;1;22;1;4;2;2;13;2;4;1;105;34;6;6;10;10;1;5;8;21;2;9;6;22;1;2;8;3;10;1;6;2;3;4;1;5;20;9;10
difftime;2;8;12;1;14;7;2;1;4;7;19;2;18;1;4;2;3;12;2;4;2;89;24;5;5;8;8;2;5;7;17;2;6;6;18;2;2;6;3;8;2;5;2;3;4;2;4;15;8;8
"[(5,15,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]}
generations#;27;114;3;99;29;4;95;27;49;10;22;55;21;29;1;86;44;22;29;56;19;85;33;18;9;29;15;33;14;3;18;7;19;18;35;9;58;46;35;31;16;12;11;5;18;90;12;39;5;20
difftime;26;130;3;95;30;5;98;32;46;10;20;47;23;28;2;98;42;27;26;55;18;116;29;16;8;24;17;31;13;3;20;5;16;17;34;9;58;36;31;32;17;11;12;6;18;82;11;40;5;18
"[(9,10,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,13,3,4,5,15,3,-1]}
