brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;2;7;17;9;7;6;5;2
difftime;2;2;4;9;19;10;9;7;6;3
"(5,6,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;1;8;4;6;4;1;5;18
difftime;3;2;2;10;5;8;5;2;6;21
"(5,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(1.25,0.0,0)
generations#;22;61;199;67;199;43;115;199;19;199
difftime;27;74;231;81;221;50;142;237;23;237
"(9,10,""then"")";(0.0,0.0,0);(1.4705882352941178,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4705882352941178,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4705882352941178,0.0,0)
generations#;19;199;116;177;145;199;123;10;122;199
difftime;22;229;137;207;152;222;141;11;143;215
"(9,14,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;4;2;7;1;1;2;1;6;5
difftime;5;6;3;9;2;3;4;2;8;7
