brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;3;2;1;3;2;2;2;1;1;1;2;2;1;1;1;2;1;1
difftime;4;4;7;6;3;7;5;6;4;3;3;4;5;5;3;3;3;5;3;4
"(6,10,""else"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;3;27;5;4;14;199;10;112;16;7;14;23;1;38;39;3;7;17;12
difftime;377;8;52;11;10;29;368;20;145;21;13;26;41;3;61;68;6;14;30;21
"(11,12,""then"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0)
generations#;199;186;199;199;199;77;12;13;117;199;24;23;199;199;199;80;199;199;199;12
difftime;368;349;373;377;368;143;23;26;152;260;43;42;337;344;335;142;342;337;347;21
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0)
generations#;26;31;36;21;12;8;47;8;6;21;19;15;10;3;13;4;58;4;199;82
difftime;51;60;68;41;23;16;89;14;8;28;34;28;19;7;25;8;104;9;347;140
"(16,17,""then"")";(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0)
generations#;32;199;199;199;130;199;199;199;50;199;199;199;199;199;199;199;58;12;154;199
difftime;63;373;372;376;244;369;369;372;65;257;350;345;360;357;343;381;97;22;275;354
"(16,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0)
generations#;31;59;20;14;10;199;199;8;3;46;199;12;4;29;54;123;26;4;16;199
difftime;61;115;39;28;20;370;372;18;5;60;356;23;8;54;94;218;44;8;30;338
"(21,22,""then"")";(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;21;199;199;199;199;2;28;64;8;199;199;6;4;199;199;199;199;17;95;12
difftime;40;379;374;372;371;6;54;120;11;257;359;12;7;369;342;341;348;30;166;23
"(21,25,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;103;155;2;24;11;33;6;129;31;199;5;10;5;8;75;39;55;81;21;23
difftime;193;290;5;47;22;61;13;204;41;258;10;19;9;16;136;65;97;138;38;42
"(29,30,""then"")";(0.0,7.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0)
generations#;199;16;199;199;18;106;147;1;199;199;199;199;199;77;2;84;135;40;199;199
difftime;430;36;428;428;38;226;307;3;299;299;395;391;384;154;6;154;260;80;387;386
"(29,37,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;1;2;2;4;1;1;3;1;1;1;2;1;2;3;1;1;1;1
difftime;4;4;5;6;6;11;4;2;6;3;3;4;5;4;5;7;4;4;3;4
"(38,39,""then"")";(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0)
generations#;199;121;169;199;143;53;33;34;177;199;89;80;199;199;199;199;19;199;199;199
difftime;424;258;364;424;303;113;72;52;264;301;175;148;382;387;388;383;37;386;373;377
"(38,46,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;2;2;1;1;2;1;1;2;2;1;2;1;2;3;1;1;1;1;1
difftime;6;6;6;4;4;6;4;2;4;4;3;5;4;5;7;3;3;4;4;3
"(47,48,""then"")";(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0)
generations#;56;199;31;32;139;199;199;184;199;199;199;199;199;13;199;199;164;25;199;199
difftime;122;425;69;70;300;421;427;274;296;298;394;375;370;24;402;375;328;45;392;394
"(47,55,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;2;2;2;1;1;1;1;1;2;1;1;1;1;2;1;2;1;2
difftime;5;4;7;6;6;4;4;2;3;3;6;4;3;4;5;6;4;5;3;5
"(56,57,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0)
generations#;17;138;164;199;9;199;115;199;48;186;199;117;97;199;14;129;188;42;134;199
difftime;39;296;351;425;22;419;244;296;71;275;399;231;173;378;30;238;372;75;269;383
"(56,64,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
