brunch;1;2;3;4;5;6;7;8;9;10
"(5,6,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;2;0;0;0
difftime;1;0;1;1;1;1;2;1;1;1
"(7,8,""then"")";(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0)
generations#;0;199;6;13;199;199;199;15;199;27
difftime;1;147;6;11;158;154;167;12;162;23
"(7,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;0;1;1;1;1
"(10,11,""then"")";(1.25,0.0,0);(1.25,0.0,0);(4.25,0.0,0);(1.25,0.0,0);(4.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;161;162;162;156;158;166;162;165;162;167
"(10,14,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0)
generations#;8;33;14;10;72;199;199;30;199;33
difftime;7;27;11;8;54;147;158;25;166;27
