brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(4,5,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]}
generations#;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;1
difftime;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;0
"[(4,25,""else""),(-1,-1,""exit"")]";[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,27,28,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]};[1,2,3,4,25,26,29,30,33,34,41,42,43,44,45,46,44,47,48,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;0;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1
"[(6,7,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]}
generations#;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;1;4;1;1;1;1;1;4;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
difftime;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;2;1;1;1;1;0;2;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1
"[(6,9,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,20,21,22,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]};[1,2,3,4,5,6,9,10,13,14,15,16,17,18,19,16,17,18,19,16,17,18,19,16,20,23,24,-1]}
