brunch;1;2;3;4;5;6;7;8;9;10
"(4,5,""then"")";(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0)
generations#;199;199;199;199;199;61;199;199;199;199
difftime;69;74;74;73;75;21;65;76;71;70
"(4,25,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;0;0;0;1;0;1;1;0;1;1
"(6,7,""then"")";(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;67;74;70;75;67;72;72;74;74;72
"(6,9,""else"")";(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;72;75;71;75;70;71;74;74;74;68
"(10,11,""then"")";(5.25,0.0,0);(5.25,0.0,0);(3.3333333333333335,0.0,0);(1.4970588235294118,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;76;68;74;74;70;74;74;74;69;66
"(10,13,""else"")";(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;74;73;73;68;69;73;73;71;75;74
"(16,17,""inWhile"")";(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;74;75;74;69;75;68;74;75;71;69
"(20,21,""then"")";(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;74;71;68;74;75;72;75;72;72;65
"(20,23,""else"")";(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;74;73;73;73;72;73;70;74;73;67
"(26,27,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;0;0;1;0;0;1;0;0;1;0
