brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(4,5,""then"")";(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;84;83;84;84;85;83;84;85;83;85;85;85;85;84;83;83;84;85;82;84
"(4,25,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1
"(6,7,""then"")";(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;83;86;84;84;83;86;83;84;84;85;84;84;86;85;84;83;83;84;84;84
"(6,9,""else"")";(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0);(3.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;86;84;83;85;84;85;83;84;82;84;85;84;84;84;85;85;85;84;84;83
"(10,11,""then"")";(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;85;84;85;84;84;85;84;83;83;85;85;84;82;85;84;83;85;84;86;85
"(10,13,""else"")";(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0);(5.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;84;85;85;84;83;86;83;83;88;86;83;85;85;85;83;84;84;81;81;85
"(16,17,""inWhile"")";(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0);(9.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;84;83;86;84;84;85;84;86;85;84;86;84;83;85;86;84;85;86;86;84
"(20,21,""then"")";(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(1.4999008133306884,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;83;83;83;85;85;85;85;85;86;85;84;83;82;84;84;85;84;84;83;83
"(20,23,""else"")";(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0);(10.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;87;83;85;83;84;84;84;86;83;84;83;84;83;85;85;85;84;85;86;84
"(26,27,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0
"(26,29,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1
"(30,31,""then"")";(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0);(1.4969135802469136,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;85;84;83;85;83;85;85;85;85;83;85;85;85;84;82;83;83;84;85;85
"(30,33,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0
