brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(3,4,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;1
"(5,6,""inWhile"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
difftime;2;4;2;4;2;1;4;2;2;2;2;6;2;3;2;2;3;3;2;3
"(10,11,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"(13,14,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;12;1;0;13;0;8;2;1;1;3;5;4;11;3;6;1;4;3;4;14
difftime;19;3;2;24;2;15;6;3;3;7;10;11;26;8;15;5;11;9;11;33
"(13,16,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;2;2;2;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2
"(17,18,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;8;13;6;0;3;3;4;1;8;20;5;1;3;10;8;1;0;5;2;2
difftime;15;28;13;2;8;7;10;4;18;44;12;5;10;31;23;6;3;16;8;8
"(17,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;2;2;1;2;2;2;2;1;1;2;3;2;2;2;2;2;2;2;2
"(21,22,""inFor"")";(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;373;386;373;380;392;378;378;392;397;390;468;488;486;476;476;471;477;482;480;479
