brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(2,3,""then""),(-1,-1,""exit"")]";[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]}
generations#;1;2;2;1;0;1;2;2;0;1;1;2;1;0;1;3;1;0;2;1;0;1;2;1;1;2;0;0;0;2;1;0;0;1;2;0;1;2;1;1;2;0;0;1;3;2;4;0;0;2
difftime;1;3;3;2;1;2;2;2;1;2;1;2;1;1;2;2;2;1;3;2;1;1;2;1;2;3;1;1;1;2;1;1;0;1;2;1;2;3;2;1;2;0;0;1;3;3;4;0;1;3
"[(2,5,""else""),(-1,-1,""exit"")]";[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0
"[(6,7,""then""),(-1,-1,""exit"")]";[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]}
generations#;1;5;9;1;6;39;35;18;6;0;2;7;22;0;1;5;6;13;17;3;0;1;1;0;2;2;6;0;0;125;0;25;0;0;0;0;33;2;0;0;6;5;3;0;36;38;0;0;1;13
difftime;2;4;8;1;6;29;30;14;5;0;2;5;16;0;2;4;5;11;15;3;1;2;2;1;3;3;6;1;1;112;1;19;1;0;1;1;25;2;1;1;6;5;3;1;28;31;1;1;1;12
"[(6,13,""else""),(-1,-1,""exit"")]";[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]}
