brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(2,3,""then""),(-1,-1,""exit"")]";[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]}
generations#;1;1;2;2;1;2;1;1;0;1;1;1;2;0;0;2;3;1;0;0;1;0;1;0;2;1;2;2;1;0;0;0;1;1;0;0;3;0;1;0;2;2;1;3;1;0;2;1;0;0
difftime;1;2;3;2;1;2;2;1;1;2;1;2;2;1;1;3;3;1;1;1;2;1;2;1;2;1;2;2;1;0;0;0;1;1;0;0;3;1;2;1;2;3;1;3;2;1;2;1;1;1
"[(2,5,""else""),(-1,-1,""exit"")]";[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1
"[(6,7,""then""),(-1,-1,""exit"")]";[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]}
generations#;4;0;23;0;0;0;0;0;32;50;4;0;0;136;6;18;5;2;13;2;56;0;5;5;2;4;8;5;55;0;0;12;2;0;0;32;15;0;0;53;0;56;0;83;5;48;1;21;0;2
difftime;5;1;19;1;1;1;1;0;23;39;3;1;0;101;5;14;4;2;10;3;43;0;4;4;2;4;7;4;43;1;1;10;2;1;1;26;12;0;1;48;1;42;0;65;3;38;2;15;1;2
"[(6,13,""else""),(-1,-1,""exit"")]";[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]}
