brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(5,6,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;0;0;1;1;0;1;1;1;0;2;0;1;1;1;1;1;2;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1
"[(5,8,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]}
generations#;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
difftime;1;2;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;2;2;2;0;1;1;0;2;1;0;1;3;0;1;1;1;1;1;1;1;2;1;1;1;0;0;2;0;0
"[(10,11,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,11,12,14,15,16,17,-1]}
generations#;46;4;23;38;15;33;37;23;11;9;6;19;1;5;12;26;30;4;2;0;34;23;40;2;0;6;4;51;1;28;0;27;20;17;11;14;53;5;18;39;13;14;0;8;24;7;33;15;47;0
difftime;37;2;15;36;11;27;31;16;11;12;4;15;2;6;8;22;23;4;3;1;25;23;34;2;1;4;3;41;2;29;1;24;14;13;11;9;43;4;11;30;12;12;1;6;23;4;25;16;42;1
"[(10,13,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,8,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]};[1,2,3,4,5,6,7,9,10,13,14,15,16,17,-1]}
