brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(5,6,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0
difftime;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;2;1;3;1;1;1;1;1;1;1;1;0;1;1;1;1
"[(5,21,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]};[1,2,3,4,5,21,22,23,24,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1
"[(8,9,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,13,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]}
generations#;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0;3;0;0;0;0
difftime;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;0;2;1;1;1;1;0;1;3;1;1;1;1
"[(10,11,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,8,9,10,13,8,14,15,16,14,15,16,14,17,18,19,20,-1]}
