brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(5,6,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;0;1;1;1;1;0;0;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2;3;0;1;1;1;2;1;1;1;1;1;1;1;0;1;0;1;1;1;0
"[(7,8,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]}
generations#;22;8;14;14;20;2;4;12;4;5;4;17;10;26;1;10;11;24;9;7;20;0;7;12;28;9;22;25;2;13;37;32;0;25;3;6;15;82;10;14;5;26;10;10;11;11;9;25;25;15
difftime;28;11;17;16;22;3;6;12;5;6;4;17;10;23;2;12;14;27;12;6;24;1;7;9;23;9;20;24;4;15;44;30;1;25;4;6;14;77;13;17;7;28;12;13;12;11;9;27;26;16
"[(7,15,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]}
generations#;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;2;1;1;1;3;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0
"[(10,11,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,-1]}
