brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(5,6,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
difftime;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;0;1;1;0;1
"[(7,8,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]}
generations#;41;199;47;199;26;6;4;4;33;22;44;50;42;7;17;56;4;3;199;9;23;38;4;199;4;199;29;199;199;32;199;3;0;15;199;199;199;3;0;1;199;17;69;199;42;199;199;4;68;7
difftime;36;168;41;165;23;5;4;4;25;18;39;42;38;6;14;53;3;2;162;8;24;34;4;181;4;175;24;152;155;27;170;3;0;13;165;173;191;5;1;1;180;13;52;167;32;155;156;4;60;7
"[(7,15,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1
"[(10,11,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,-1]};[1,2,3,4,5,6,7,15,5,-1]}
