brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(3,4,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;2;2;1;1;1;2;2;2;2;2;2;2;1;1;2;2;1;2;2;3;1;2;1;1;1;1;2;1;1;2;1;1;1;2;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1
"[(5,6,""inWhile""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,21,3,4,5,8,9,10,21,3,-1]}
generations#;0;0;0;0;0;1;1;0;0;0;0;4;0;0;0;0;0;3;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0
difftime;1;3;2;3;2;3;4;2;2;2;2;11;3;2;3;2;1;10;2;7;4;2;2;4;2;2;2;2;3;2;4;3;2;2;2;4;2;4;2;3;2;2;2;5;2;2;3;4;2;3
"[(10,11,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,21,3,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;2;3;2;1;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;1;1
"[(13,14,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,6,7,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,11,12,13,16,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,16,17,20,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]};[1,2,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,4,5,8,9,10,11,12,13,14,15,17,20,10,21,3,-1]}
