brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(2,3,""then""),(-1,-1,""exit"")]";[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]}
generations#;0;0;3;1;0;2;0;0;2;3;2;6;0;2;1;6;0;0;0;0;0;1;1;2;0;2;0;1;7;11;2;0;3;0;1;0;3;0;2;0;2;1;0;2;0;0;2;6;1;1
difftime;0;1;4;2;1;3;0;1;3;5;2;7;1;2;1;8;2;1;1;1;1;1;2;3;1;3;1;1;7;11;3;0;3;1;1;1;4;1;3;0;2;2;1;3;1;1;2;7;1;2
"[(2,5,""else""),(-1,-1,""exit"")]";[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;2;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"[(6,7,""then""),(-1,-1,""exit"")]";[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]};[1,2,5,6,7,8,9,10,11,12,-1]}
generations#;6;1;0;5;1;2;0;3;1;3;0;2;3;0;2;1;0;1;0;0;0;3;0;1;1;3;0;1;3;0;3;1;0;0;5;1;1;1;0;2;0;8;0;2;0;4;1;0;2;0
difftime;5;2;1;6;1;3;2;4;2;4;1;2;3;1;3;2;0;2;0;0;1;3;1;2;2;3;1;1;2;1;3;1;1;1;4;2;2;2;1;2;1;8;1;3;1;4;2;1;3;1
"[(6,13,""else""),(-1,-1,""exit"")]";[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,5,6,13,14,15,16,17,18,-1]};[1,2,3,4,6,13,14,15,16,17,18,-1]}
