brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(5,6,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
difftime;2;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;2;0;1;1;1;1;1;1;1;0;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1
"[(7,8,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]}
generations#;1;21;13;44;25;7;9;96;21;7;11;3;4;0;2;0;3;19;0;23;20;199;7;4;8;5;6;0;8;9;37;9;6;9;199;59;6;0;20;7;8;16;3;18;7;8;12;5;12;25
difftime;3;27;18;57;31;10;12;117;26;9;17;4;6;1;3;1;5;23;1;30;24;253;10;6;11;7;9;1;11;12;47;12;8;12;250;75;8;1;26;11;11;22;5;22;9;11;17;7;17;32
"[(7,15,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,14,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1
"[(10,11,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,6,7,15,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,14,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,15,5,16,17,18,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]};[1,2,3,4,5,6,7,8,9,10,11,12,5,16,19,-1]}
