brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;1;12;1;5;1;1;4;1
starttime;00:41:47;00:43:01;00:46:24;00:48:41;00:53:37;00:57:56;01:01:24;01:05:44;01:07:15;01:11:01
endtime;00:41:51;00:43:03;00:46:26;00:48:53;00:53:39;00:58:02;01:01:26;01:05:46;01:07:20;01:11:03
difftime;4;2;2;12;2;6;2;2;5;2
"(5,6,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;5;6;4;5;8;1;1;14;6
starttime;00:41:51;00:43:03;00:46:26;00:48:53;00:53:39;00:58:02;01:01:26;01:05:46;01:07:20;01:11:03
endtime;00:41:55;00:43:09;00:46:33;00:48:58;00:53:44;00:58:12;01:01:28;01:05:49;01:07:36;01:11:11
difftime;4;6;7;5;5;10;2;3;16;8
"(5,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;33;147;97;199;199;104;16;47;80;9
starttime;00:41:55;00:43:09;00:46:33;00:48:58;00:53:44;00:58:12;01:01:28;01:05:49;01:07:36;01:11:11
endtime;00:42:34;00:45:52;00:48:20;00:52:44;00:57:29;01:00:07;01:01:48;01:06:47;01:09:11;01:11:23
difftime;39;163;107;226;225;115;20;58;95;12
"(9,10,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4705882352941178,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;19;27;18;49;22;69;199;20;93;49
starttime;00:42:34;00:45:52;00:48:20;00:52:44;00:57:29;01:00:07;01:01:48;01:06:47;01:09:11;01:11:23
endtime;00:42:56;00:46:21;00:48:39;00:53:33;00:57:52;01:01:19;01:05:41;01:07:11;01:10:59;01:12:16
difftime;22;29;19;49;23;72;233;24;108;53
"(9,14,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;2;1;3;3;3;2;3;1;3
starttime;00:42:56;00:46:21;00:48:39;00:53:33;00:57:52;01:01:19;01:05:41;01:07:11;01:10:59;01:12:16
endtime;00:43:01;00:46:24;00:48:41;00:53:37;00:57:56;01:01:24;01:05:44;01:07:15;01:11:01;01:12:20
difftime;5;3;2;4;4;5;3;4;2;4
