brunch;1;2;3;4;5;6;7;8;9;10
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;2;2;1;1;1;2;1;1
starttime;05:19:34;06:00:00;06:39:38;07:24:36;08:00:45;08:43:14;09:19:17;09:53:29;10:16:07;10:52:28
endtime;05:19:38;06:00:03;06:39:43;07:24:41;08:00:48;08:43:18;09:19:20;09:53:35;10:16:10;10:52:31
difftime;4;3;5;5;3;4;3;6;3;3
"(6,10,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;7;9;10;15;4;5;20;8;2;41
starttime;05:19:38;06:00:03;06:39:43;07:24:41;08:00:48;08:43:18;09:19:20;09:53:35;10:16:10;10:52:31
endtime;05:19:50;06:00:22;06:40:03;07:25:10;08:00:57;08:43:28;09:19:58;09:53:50;10:16:15;10:53:43
difftime;12;19;20;29;9;10;38;15;5;72
"(11,12,""then"")";(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0)
generations#;199;199;199;199;67;199;199;199;199;199
starttime;05:19:50;06:00:22;06:40:03;07:25:10;08:00:57;08:43:28;09:19:58;09:53:50;10:16:15;10:53:43
endtime;05:25:52;06:06:31;06:46:13;07:31:20;08:03:00;08:49:29;09:26:06;09:59:47;10:22:03;10:59:37
difftime;362;369;370;370;123;361;368;357;348;354
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;24;18;2;172;14;17;32;41;4;15
starttime;05:25:52;06:06:31;06:46:13;07:31:20;08:03:00;08:49:29;09:26:06;09:59:47;10:22:03;10:59:37
endtime;05:26:38;06:07:06;06:46:19;07:36:30;08:03:27;08:50:01;09:27:01;10:01:02;10:22:12;11:00:05
difftime;46;35;6;310;27;32;55;75;9;28
"(16,17,""then"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0)
generations#;199;45;199;199;199;199;199;8;199;50
starttime;05:26:38;06:07:06;06:46:19;07:36:30;08:03:27;08:50:01;09:27:01;10:01:02;10:22:12;11:00:05
endtime;05:32:44;06:08:30;06:52:31;07:42:34;08:09:36;08:56:01;09:32:42;10:01:17;10:28:15;11:01:30
difftime;366;84;372;364;369;360;341;15;363;85
"(16,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;6;11;131;3;8;199;13;10;27;11
starttime;05:32:44;06:08:30;06:52:31;07:42:34;08:09:36;08:56:01;09:32:42;10:01:17;10:28:15;11:01:30
endtime;05:32:57;06:08:52;06:56:37;07:42:41;08:09:52;09:01:56;09:33:07;10:01:36;10:29:07;11:01:48
difftime;13;22;246;7;16;355;25;19;52;18
"(21,22,""then"")";(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;199;199;199;199;21;49;3;22;133
starttime;05:32:57;06:08:52;06:56:37;07:42:41;08:09:52;09:01:56;09:33:07;10:01:36;10:29:07;11:01:48
endtime;05:39:04;06:15:00;07:02:51;07:48:53;08:15:57;09:02:32;09:34:34;10:01:42;10:29:48;11:05:14
difftime;367;368;374;372;365;36;87;6;41;206
"(21,25,""else"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;92;10;1;17;7;29;3;1;81
starttime;05:39:04;06:15:00;07:02:51;07:48:53;08:15:57;09:02:32;09:34:34;10:01:42;10:29:48;11:05:14
endtime;05:45:16;06:17:55;07:03:11;07:48:56;08:16:30;09:02:45;09:35:24;10:01:49;10:29:51;11:07:42
difftime;372;175;20;3;33;13;50;7;3;148
"(29,30,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0)
generations#;1;117;199;118;175;199;54;8;199;128
starttime;05:45:16;06:17:55;07:03:11;07:48:56;08:16:30;09:02:45;09:35:24;10:01:49;10:29:51;11:07:42
endtime;05:45:20;06:22:00;07:10:04;07:53:02;08:22:15;09:09:24;09:37:08;10:02:06;10:36:40;11:12:02
difftime;4;245;413;246;345;399;104;17;409;260
"(29,37,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;2;2;1;2;1;1;1;1;1
