brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
starttime;12:15:13;12:15:16;12:15:20;12:15:23;12:15:27;12:15:30;12:15:33;12:15:36;12:15:40;12:15:43
endtime;12:15:14;12:15:17;12:15:20;12:15:24;12:15:28;12:15:31;12:15:34;12:15:37;12:15:41;12:15:44
difftime;1;1;0;1;1;1;1;1;1;1
"(7,8,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;1;2;1;1;1;2;1;1
starttime;12:15:14;12:15:17;12:15:20;12:15:24;12:15:28;12:15:31;12:15:34;12:15:37;12:15:41;12:15:44
endtime;12:15:15;12:15:19;12:15:22;12:15:26;12:15:29;12:15:32;12:15:35;12:15:39;12:15:42;12:15:45
difftime;1;2;2;2;1;1;1;2;1;1
"(7,11,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
starttime;12:15:15;12:15:19;12:15:22;12:15:26;12:15:29;12:15:32;12:15:35;12:15:39;12:15:42;12:15:45
endtime;12:15:16;12:15:20;12:15:23;12:15:27;12:15:30;12:15:33;12:15:36;12:15:40;12:15:43;12:15:46
difftime;1;1;1;1;1;1;1;1;1;1
